cfg,tp_cp,tp1_fraction,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,trend_enabled,trend_d,trend_p,trend_rr,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00160_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4218,0,4218,0.19535324798482692,-0.14966726511996992,0.5286755519803207,-631.2965242760331,0.0,0.0,-0.14966726511996992,0.5286755519803207,-1.0,0.0,0.6057444668286537,0.362968231389284,0.5806069227121858,0.056424845898530106,0.0
C00079_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4218,0,4218,0.19535324798482692,-0.14997019221521635,0.527124076348115,-632.5742707637826,0.0,0.0,-0.14997019221521635,0.527124076348115,-1.0,0.0,0.5977792311700807,0.362968231389284,0.5806069227121858,0.056424845898530106,0.0
C00106_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4218,0,4218,0.19535324798482692,-0.14997019221521635,0.527124076348115,-632.5742707637826,0.0,0.0,-0.14997019221521635,0.527124076348115,-1.0,0.0,0.5977792311700807,0.362968231389284,0.5806069227121858,0.056424845898530106,0.0
C00124_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4861,0,4861,0.19543303846945073,-0.14946575765178333,0.5263483140135341,-726.5530479453188,0.0,0.0,-0.14946575765178333,0.5263483140135341,-1.0,0.0,0.6052365512673993,0.36371117054104096,0.5809504217239251,0.05533840773503394,0.0
C00151_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4861,0,4861,0.19543303846945073,-0.14946575765178333,0.5263483140135341,-726.5530479453188,0.0,0.0,-0.14946575765178333,0.5263483140135341,-1.0,0.0,0.6052365512673993,0.36371117054104096,0.5809504217239251,0.05533840773503394,0.0
C00025_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4218,0,4218,0.19535324798482692,-0.1502731193104628,0.5255686699771451,-633.8520172515321,0.0,0.0,-0.1502731193104628,0.5255686699771451,-1.0,0.0,0.5886770697103504,0.362968231389284,0.5806069227121858,0.056424845898530106,0.0
C00052_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4218,0,4218,0.19535324798482692,-0.1502731193104628,0.5255686699771451,-633.8520172515321,0.0,0.0,-0.1502731193104628,0.5255686699771451,-1.0,0.0,0.5886770697103504,0.362968231389284,0.5806069227121858,0.056424845898530106,0.0
C00070_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4861,0,4861,0.19543303846945073,-0.14974810485582188,0.524845992961124,-727.9255377041501,0.0,0.0,-0.14974810485582188,0.524845992961124,-1.0,0.0,0.6016890437663498,0.36371117054104096,0.5809504217239251,0.05533840773503394,0.0
C00097_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4861,0,4861,0.19543303846945073,-0.14974810485582188,0.524845992961124,-727.9255377041501,0.0,0.0,-0.14974810485582188,0.524845992961124,-1.0,0.0,0.6016890437663498,0.36371117054104096,0.5809504217239251,0.05533840773503394,0.0
C00016_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,4861,0,4861,0.19543303846945073,-0.15003045205986038,0.5233398200643324,-729.2980274629813,0.0,0.0,-0.15003045205986038,0.5233398200643324,-1.0,0.0,0.5911850092365101,0.36371117054104096,0.5809504217239251,0.05533840773503394,0.0
