cfg,trend_d,trend_p,trend_rr,trend_sl_atr,trend_tp_r,trend_time_stop,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00013_US_15_16_mg10_d0.25_p0.65_rr1.10_sl1.00_tp2.00_t45,0.25,0.65,1.1,1.0,2.0,45,US_15_16,"15,16",10,155,155,0,0.14193548387096774,-0.5741935483870968,0.3308270676691729,-89.0,-1.0,-1.0,2.0,0.8580645161290322,0.14193548387096774,0.0,0.0
C00014_US_15_16_mg10_d0.25_p0.65_rr1.10_sl1.00_tp2.00_t60,0.25,0.65,1.1,1.0,2.0,60,US_15_16,"15,16",10,155,155,0,0.14193548387096774,-0.5741935483870968,0.3308270676691729,-89.0,-1.0,-1.0,2.0,0.8580645161290322,0.14193548387096774,0.0,0.0
C00031_US_15_16_mg10_d0.30_p0.65_rr1.10_sl1.00_tp2.50_t45,0.3,0.65,1.1,1.0,2.5,45,US_15_16,"15,16",10,130,130,0,0.11538461538461539,-0.5961538461538449,0.32608695652174047,-77.49999999999984,-1.0,-1.0,2.499999999999933,0.8846153846153846,0.11538461538461539,0.0,0.0
C00032_US_15_16_mg10_d0.30_p0.65_rr1.10_sl1.00_tp2.50_t60,0.3,0.65,1.1,1.0,2.5,60,US_15_16,"15,16",10,130,130,0,0.11538461538461539,-0.5961538461538449,0.32608695652174047,-77.49999999999984,-1.0,-1.0,2.499999999999933,0.8846153846153846,0.11538461538461539,0.0,0.0
C00005_US_15_16_mg10_d0.25_p0.60_rr1.10_sl1.00_tp2.00_t45,0.25,0.6,1.1,1.0,2.0,45,US_15_16,"15,16",10,165,165,0,0.1393939393939394,-0.5818181818181818,0.323943661971831,-96.0,-1.0,-1.0,2.0,0.8606060606060606,0.1393939393939394,0.0,0.0
C00006_US_15_16_mg10_d0.25_p0.60_rr1.10_sl1.00_tp2.00_t60,0.25,0.6,1.1,1.0,2.0,60,US_15_16,"15,16",10,165,165,0,0.1393939393939394,-0.5818181818181818,0.323943661971831,-96.0,-1.0,-1.0,2.0,0.8606060606060606,0.1393939393939394,0.0,0.0
C00023_US_15_16_mg10_d0.30_p0.60_rr1.10_sl1.00_tp2.50_t45,0.3,0.6,1.1,1.0,2.5,45,US_15_16,"15,16",10,140,140,0,0.11428571428571428,-0.5999999999999989,0.3225806451612916,-83.99999999999984,-1.0,-1.0,2.499999999999933,0.8857142857142857,0.11428571428571428,0.0,0.0
C00024_US_15_16_mg10_d0.30_p0.60_rr1.10_sl1.00_tp2.50_t60,0.3,0.6,1.1,1.0,2.5,60,US_15_16,"15,16",10,140,140,0,0.11428571428571428,-0.5999999999999989,0.3225806451612916,-83.99999999999984,-1.0,-1.0,2.499999999999933,0.8857142857142857,0.11428571428571428,0.0,0.0
C00035_US_15_16_mg15_d0.25_p0.60_rr0.90_sl1.00_tp2.50_t45,0.25,0.6,0.9,1.0,2.5,45,US_15_16,"15,16",15,175,175,0,0.11428571428571428,-0.6000000000000006,0.32258064516128954,-105.00000000000011,-1.0,-1.0,2.499999999999948,0.8857142857142857,0.11428571428571428,0.0,0.0
C00036_US_15_16_mg15_d0.25_p0.60_rr0.90_sl1.00_tp2.50_t60,0.25,0.6,0.9,1.0,2.5,60,US_15_16,"15,16",15,175,175,0,0.11428571428571428,-0.6000000000000006,0.32258064516128954,-105.00000000000011,-1.0,-1.0,2.499999999999948,0.8857142857142857,0.11428571428571428,0.0,0.0
