cfg,tp_cp,tp1_fraction,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,trend_enabled,trend_d,trend_p,trend_rr,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00042_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.35_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.35,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,46,0,46,0.2826086956521739,-0.023122668335646804,0.9289829833507397,-1.063642743439753,0.0,0.0,-0.023122668335646804,0.9289829833507397,-1.0,0.0,1.3217419123590677,0.30434782608695654,0.6521739130434783,0.043478260869565216,0.0
C00125_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,53,0,53,0.2641509433962264,-0.03986709579947825,0.8692567763672605,-2.1129560773723473,0.0,0.0,-0.03986709579947825,0.8692567763672605,-1.0,0.0,1.0507562257847,0.2830188679245283,0.660377358490566,0.05660377358490566,0.0
C00152_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,53,0,53,0.2641509433962264,-0.03986709579947825,0.8692567763672605,-2.1129560773723473,0.0,0.0,-0.03986709579947825,0.8692567763672605,-1.0,0.0,1.0507562257847,0.2830188679245283,0.660377358490566,0.05660377358490566,0.0
C00071_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,53,0,53,0.2641509433962264,-0.039920350695956626,0.8690821281592539,-2.115778586885701,0.0,0.0,-0.039920350695956626,0.8690821281592539,-1.0,0.0,1.0507562257847,0.2830188679245283,0.660377358490566,0.05660377358490566,0.0
C00098_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,53,0,53,0.2641509433962264,-0.039920350695956626,0.8690821281592539,-2.115778586885701,0.0,0.0,-0.039920350695956626,0.8690821281592539,-1.0,0.0,1.0507562257847,0.2830188679245283,0.660377358490566,0.05660377358490566,0.0
C00017_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,53,0,53,0.2641509433962264,-0.039973605592435,0.8689074799512472,-2.118601096399055,0.0,0.0,-0.039973605592435,0.8689074799512472,-1.0,0.0,1.0507562257847,0.2830188679245283,0.660377358490566,0.05660377358490566,0.0
C00044_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,53,0,53,0.2641509433962264,-0.039973605592435,0.8689074799512472,-2.118601096399055,0.0,0.0,-0.039973605592435,0.8689074799512472,-1.0,0.0,1.0507562257847,0.2830188679245283,0.660377358490566,0.05660377358490566,0.0
C00110_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,78,0,78,0.2692307692307692,-0.03940636112331888,0.85474790035824,-3.0736961676188725,0.0,0.0,-0.03940636112331888,0.85474790035824,-1.0,0.0,0.7570051608137744,0.28205128205128205,0.6666666666666666,0.05128205128205128,0.0
C00137_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,78,0,78,0.2692307692307692,-0.03940636112331888,0.85474790035824,-3.0736961676188725,0.0,0.0,-0.03940636112331888,0.85474790035824,-1.0,0.0,0.7570051608137744,0.28205128205128205,0.6666666666666666,0.05128205128205128,0.0
C00056_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,78,0,78,0.2692307692307692,-0.039442547142720844,0.8546145184588211,-3.076518677132226,0.0,0.0,-0.039442547142720844,0.8546145184588211,-1.0,0.0,0.7570051608137744,0.28205128205128205,0.6666666666666666,0.05128205128205128,0.0
