cfg,tp_cp,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C01346_tp0.60_sl1.6_high0_t20_d0.20_rr1.00_cp0.15_0.85_md0.25_ap0.85_TREND_FIRST,0.6,1.6,False,20,TREND_FIRST,0.2,1.0,0.15,0.85,0.25,0.85,1265,411,854,0.16758893280632411,-0.34909600928762136,0.38785390487633914,-441.606451748841,-0.48905109489051096,0.41055718475073316,-0.28174057581831496,0.3675024935947215,-1.0,-1.0,1.0195656061842893,0.48243559718969553,0.5163934426229508,0.00117096018735363,0.0
C01349_tp0.60_sl1.6_high0_t20_d0.20_rr1.00_cp0.15_0.85_md0.30_ap0.85_TREND_FIRST,0.6,1.6,False,20,TREND_FIRST,0.2,1.0,0.15,0.85,0.3,0.85,1265,411,854,0.16758893280632411,-0.34909600928762136,0.38785390487633914,-441.606451748841,-0.48905109489051096,0.41055718475073316,-0.28174057581831496,0.3675024935947215,-1.0,-1.0,1.0195656061842893,0.48243559718969553,0.5163934426229508,0.00117096018735363,0.0
C01505_tp0.60_sl1.6_high0_t20_d0.20_rr1.00_cp0.15_0.85_md0.20_ap0.85_MR_FIRST,0.6,1.6,False,20,MR_FIRST,0.2,1.0,0.15,0.85,0.2,0.85,1265,411,854,0.16758893280632411,-0.34909600928762136,0.38785390487633914,-441.606451748841,-0.48905109489051096,0.41055718475073316,-0.28174057581831496,0.3675024935947215,-1.0,-1.0,1.0195656061842893,0.48243559718969553,0.5163934426229508,0.00117096018735363,0.0
C01508_tp0.60_sl1.6_high0_t20_d0.20_rr1.00_cp0.15_0.85_md0.25_ap0.85_MR_FIRST,0.6,1.6,False,20,MR_FIRST,0.2,1.0,0.15,0.85,0.25,0.85,1265,411,854,0.16758893280632411,-0.34909600928762136,0.38785390487633914,-441.606451748841,-0.48905109489051096,0.41055718475073316,-0.28174057581831496,0.3675024935947215,-1.0,-1.0,1.0195656061842893,0.48243559718969553,0.5163934426229508,0.00117096018735363,0.0
C01511_tp0.60_sl1.6_high0_t20_d0.20_rr1.00_cp0.15_0.85_md0.30_ap0.85_MR_FIRST,0.6,1.6,False,20,MR_FIRST,0.2,1.0,0.15,0.85,0.3,0.85,1265,411,854,0.16758893280632411,-0.34909600928762136,0.38785390487633914,-441.606451748841,-0.48905109489051096,0.41055718475073316,-0.28174057581831496,0.3675024935947215,-1.0,-1.0,1.0195656061842893,0.48243559718969553,0.5163934426229508,0.00117096018735363,0.0
C01667_tp0.60_sl1.6_high0_t30_d0.20_rr1.00_cp0.15_0.85_md0.20_ap0.85_TREND_FIRST,0.6,1.6,False,30,TREND_FIRST,0.2,1.0,0.15,0.85,0.2,0.85,1265,411,854,0.16758893280632411,-0.34909600928762136,0.38785390487633914,-441.606451748841,-0.48905109489051096,0.41055718475073316,-0.28174057581831496,0.3675024935947215,-1.0,-1.0,1.0195656061842893,0.48243559718969553,0.5163934426229508,0.00117096018735363,0.0
C01670_tp0.60_sl1.6_high0_t30_d0.20_rr1.00_cp0.15_0.85_md0.25_ap0.85_TREND_FIRST,0.6,1.6,False,30,TREND_FIRST,0.2,1.0,0.15,0.85,0.25,0.85,1265,411,854,0.16758893280632411,-0.34909600928762136,0.38785390487633914,-441.606451748841,-0.48905109489051096,0.41055718475073316,-0.28174057581831496,0.3675024935947215,-1.0,-1.0,1.0195656061842893,0.48243559718969553,0.5163934426229508,0.00117096018735363,0.0
C01673_tp0.60_sl1.6_high0_t30_d0.20_rr1.00_cp0.15_0.85_md0.30_ap0.85_TREND_FIRST,0.6,1.6,False,30,TREND_FIRST,0.2,1.0,0.15,0.85,0.3,0.85,1265,411,854,0.16758893280632411,-0.34909600928762136,0.38785390487633914,-441.606451748841,-0.48905109489051096,0.41055718475073316,-0.28174057581831496,0.3675024935947215,-1.0,-1.0,1.0195656061842893,0.48243559718969553,0.5163934426229508,0.00117096018735363,0.0
C01829_tp0.60_sl1.6_high0_t30_d0.20_rr1.00_cp0.15_0.85_md0.20_ap0.85_MR_FIRST,0.6,1.6,False,30,MR_FIRST,0.2,1.0,0.15,0.85,0.2,0.85,1265,411,854,0.16758893280632411,-0.34909600928762136,0.38785390487633914,-441.606451748841,-0.48905109489051096,0.41055718475073316,-0.28174057581831496,0.3675024935947215,-1.0,-1.0,1.0195656061842893,0.48243559718969553,0.5163934426229508,0.00117096018735363,0.0
C01832_tp0.60_sl1.6_high0_t30_d0.20_rr1.00_cp0.15_0.85_md0.25_ap0.85_MR_FIRST,0.6,1.6,False,30,MR_FIRST,0.2,1.0,0.15,0.85,0.25,0.85,1265,411,854,0.16758893280632411,-0.34909600928762136,0.38785390487633914,-441.606451748841,-0.48905109489051096,0.41055718475073316,-0.28174057581831496,0.3675024935947215,-1.0,-1.0,1.0195656061842893,0.48243559718969553,0.5163934426229508,0.00117096018735363,0.0
C01835_tp0.60_sl1.6_high0_t30_d0.20_rr1.00_cp0.15_0.85_md0.30_ap0.85_MR_FIRST,0.6,1.6,False,30,MR_FIRST,0.2,1.0,0.15,0.85,0.3,0.85,1265,411,854,0.16758893280632411,-0.34909600928762136,0.38785390487633914,-441.606451748841,-0.48905109489051096,0.41055718475073316,-0.28174057581831496,0.3675024935947215,-1.0,-1.0,1.0195656061842893,0.48243559718969553,0.5163934426229508,0.00117096018735363,0.0
C00082_tp0.60_sl1.4_high0_t20_d0.25_rr0.90_cp0.15_0.85_md0.20_ap0.80_TREND_FIRST,0.6,1.4,False,20,TREND_FIRST,0.25,0.9,0.15,0.85,0.2,0.8,1254,411,843,0.16666666666666666,-0.3701800132592393,0.3877503488620828,-464.20573662708614,-0.48905109489051096,0.41055718475073316,-0.31222507310449127,0.36910895294674756,-1.0,-1.0,1.1480078905070692,0.5266903914590747,0.4721233689205219,0.0011862396204033216,0.0
C00085_tp0.60_sl1.4_high0_t20_d0.25_rr0.90_cp0.15_0.85_md0.25_ap0.80_TREND_FIRST,0.6,1.4,False,20,TREND_FIRST,0.25,0.9,0.15,0.85,0.25,0.8,1254,411,843,0.16666666666666666,-0.3701800132592393,0.3877503488620828,-464.20573662708614,-0.48905109489051096,0.41055718475073316,-0.31222507310449127,0.36910895294674756,-1.0,-1.0,1.1480078905070692,0.5266903914590747,0.4721233689205219,0.0011862396204033216,0.0
C00088_tp0.60_sl1.4_high0_t20_d0.25_rr0.90_cp0.15_0.85_md0.30_ap0.80_TREND_FIRST,0.6,1.4,False,20,TREND_FIRST,0.25,0.9,0.15,0.85,0.3,0.8,1254,411,843,0.16666666666666666,-0.3701800132592393,0.3877503488620828,-464.20573662708614,-0.48905109489051096,0.41055718475073316,-0.31222507310449127,0.36910895294674756,-1.0,-1.0,1.1480078905070692,0.5266903914590747,0.4721233689205219,0.0011862396204033216,0.0
C00244_tp0.60_sl1.4_high0_t20_d0.25_rr0.90_cp0.15_0.85_md0.20_ap0.80_MR_FIRST,0.6,1.4,False,20,MR_FIRST,0.25,0.9,0.15,0.85,0.2,0.8,1254,411,843,0.16666666666666666,-0.3701800132592393,0.3877503488620828,-464.20573662708614,-0.48905109489051096,0.41055718475073316,-0.31222507310449127,0.36910895294674756,-1.0,-1.0,1.1480078905070692,0.5266903914590747,0.4721233689205219,0.0011862396204033216,0.0
C00247_tp0.60_sl1.4_high0_t20_d0.25_rr0.90_cp0.15_0.85_md0.25_ap0.80_MR_FIRST,0.6,1.4,False,20,MR_FIRST,0.25,0.9,0.15,0.85,0.25,0.8,1254,411,843,0.16666666666666666,-0.3701800132592393,0.3877503488620828,-464.20573662708614,-0.48905109489051096,0.41055718475073316,-0.31222507310449127,0.36910895294674756,-1.0,-1.0,1.1480078905070692,0.5266903914590747,0.4721233689205219,0.0011862396204033216,0.0
C00250_tp0.60_sl1.4_high0_t20_d0.25_rr0.90_cp0.15_0.85_md0.30_ap0.80_MR_FIRST,0.6,1.4,False,20,MR_FIRST,0.25,0.9,0.15,0.85,0.3,0.8,1254,411,843,0.16666666666666666,-0.3701800132592393,0.3877503488620828,-464.20573662708614,-0.48905109489051096,0.41055718475073316,-0.31222507310449127,0.36910895294674756,-1.0,-1.0,1.1480078905070692,0.5266903914590747,0.4721233689205219,0.0011862396204033216,0.0
C00406_tp0.60_sl1.4_high0_t30_d0.25_rr0.90_cp0.15_0.85_md0.20_ap0.80_TREND_FIRST,0.6,1.4,False,30,TREND_FIRST,0.25,0.9,0.15,0.85,0.2,0.8,1254,411,843,0.16666666666666666,-0.3701800132592393,0.3877503488620828,-464.20573662708614,-0.48905109489051096,0.41055718475073316,-0.31222507310449127,0.36910895294674756,-1.0,-1.0,1.1480078905070692,0.5266903914590747,0.4721233689205219,0.0011862396204033216,0.0
C00409_tp0.60_sl1.4_high0_t30_d0.25_rr0.90_cp0.15_0.85_md0.25_ap0.80_TREND_FIRST,0.6,1.4,False,30,TREND_FIRST,0.25,0.9,0.15,0.85,0.25,0.8,1254,411,843,0.16666666666666666,-0.3701800132592393,0.3877503488620828,-464.20573662708614,-0.48905109489051096,0.41055718475073316,-0.31222507310449127,0.36910895294674756,-1.0,-1.0,1.1480078905070692,0.5266903914590747,0.4721233689205219,0.0011862396204033216,0.0
C00412_tp0.60_sl1.4_high0_t30_d0.25_rr0.90_cp0.15_0.85_md0.30_ap0.80_TREND_FIRST,0.6,1.4,False,30,TREND_FIRST,0.25,0.9,0.15,0.85,0.3,0.8,1254,411,843,0.16666666666666666,-0.3701800132592393,0.3877503488620828,-464.20573662708614,-0.48905109489051096,0.41055718475073316,-0.31222507310449127,0.36910895294674756,-1.0,-1.0,1.1480078905070692,0.5266903914590747,0.4721233689205219,0.0011862396204033216,0.0
C00568_tp0.60_sl1.4_high0_t30_d0.25_rr0.90_cp0.15_0.85_md0.20_ap0.80_MR_FIRST,0.6,1.4,False,30,MR_FIRST,0.25,0.9,0.15,0.85,0.2,0.8,1254,411,843,0.16666666666666666,-0.3701800132592393,0.3877503488620828,-464.20573662708614,-0.48905109489051096,0.41055718475073316,-0.31222507310449127,0.36910895294674756,-1.0,-1.0,1.1480078905070692,0.5266903914590747,0.4721233689205219,0.0011862396204033216,0.0
C00571_tp0.60_sl1.4_high0_t30_d0.25_rr0.90_cp0.15_0.85_md0.25_ap0.80_MR_FIRST,0.6,1.4,False,30,MR_FIRST,0.25,0.9,0.15,0.85,0.25,0.8,1254,411,843,0.16666666666666666,-0.3701800132592393,0.3877503488620828,-464.20573662708614,-0.48905109489051096,0.41055718475073316,-0.31222507310449127,0.36910895294674756,-1.0,-1.0,1.1480078905070692,0.5266903914590747,0.4721233689205219,0.0011862396204033216,0.0
C00574_tp0.60_sl1.4_high0_t30_d0.25_rr0.90_cp0.15_0.85_md0.30_ap0.80_MR_FIRST,0.6,1.4,False,30,MR_FIRST,0.25,0.9,0.15,0.85,0.3,0.8,1254,411,843,0.16666666666666666,-0.3701800132592393,0.3877503488620828,-464.20573662708614,-0.48905109489051096,0.41055718475073316,-0.31222507310449127,0.36910895294674756,-1.0,-1.0,1.1480078905070692,0.5266903914590747,0.4721233689205219,0.0011862396204033216,0.0
C00010_tp0.60_sl1.4_high0_t20_d0.20_rr0.80_cp0.15_0.85_md0.20_ap0.80_TREND_FIRST,0.6,1.4,False,20,TREND_FIRST,0.2,0.8,0.15,0.85,0.2,0.8,1416,411,1005,0.1652542372881356,-0.35821386706291575,0.38712550711376514,-507.2308357610887,-0.48905109489051096,0.41055718475073316,-0.30470729926476486,0.37070591001275816,-1.0,-1.0,1.0439780918828618,0.5213930348258706,0.47761194029850745,0.0009950248756218905,0.0
C00013_tp0.60_sl1.4_high0_t20_d0.20_rr0.80_cp0.15_0.85_md0.25_ap0.80_TREND_FIRST,0.6,1.4,False,20,TREND_FIRST,0.2,0.8,0.15,0.85,0.25,0.8,1416,411,1005,0.1652542372881356,-0.35821386706291575,0.38712550711376514,-507.2308357610887,-0.48905109489051096,0.41055718475073316,-0.30470729926476486,0.37070591001275816,-1.0,-1.0,1.0439780918828618,0.5213930348258706,0.47761194029850745,0.0009950248756218905,0.0
C00016_tp0.60_sl1.4_high0_t20_d0.20_rr0.80_cp0.15_0.85_md0.30_ap0.80_TREND_FIRST,0.6,1.4,False,20,TREND_FIRST,0.2,0.8,0.15,0.85,0.3,0.8,1416,411,1005,0.1652542372881356,-0.35821386706291575,0.38712550711376514,-507.2308357610887,-0.48905109489051096,0.41055718475073316,-0.30470729926476486,0.37070591001275816,-1.0,-1.0,1.0439780918828618,0.5213930348258706,0.47761194029850745,0.0009950248756218905,0.0
C00172_tp0.60_sl1.4_high0_t20_d0.20_rr0.80_cp0.15_0.85_md0.20_ap0.80_MR_FIRST,0.6,1.4,False,20,MR_FIRST,0.2,0.8,0.15,0.85,0.2,0.8,1416,411,1005,0.1652542372881356,-0.35821386706291575,0.38712550711376514,-507.2308357610887,-0.48905109489051096,0.41055718475073316,-0.30470729926476486,0.37070591001275816,-1.0,-1.0,1.0439780918828618,0.5213930348258706,0.47761194029850745,0.0009950248756218905,0.0
C00175_tp0.60_sl1.4_high0_t20_d0.20_rr0.80_cp0.15_0.85_md0.25_ap0.80_MR_FIRST,0.6,1.4,False,20,MR_FIRST,0.2,0.8,0.15,0.85,0.25,0.8,1416,411,1005,0.1652542372881356,-0.35821386706291575,0.38712550711376514,-507.2308357610887,-0.48905109489051096,0.41055718475073316,-0.30470729926476486,0.37070591001275816,-1.0,-1.0,1.0439780918828618,0.5213930348258706,0.47761194029850745,0.0009950248756218905,0.0
C00178_tp0.60_sl1.4_high0_t20_d0.20_rr0.80_cp0.15_0.85_md0.30_ap0.80_MR_FIRST,0.6,1.4,False,20,MR_FIRST,0.2,0.8,0.15,0.85,0.3,0.8,1416,411,1005,0.1652542372881356,-0.35821386706291575,0.38712550711376514,-507.2308357610887,-0.48905109489051096,0.41055718475073316,-0.30470729926476486,0.37070591001275816,-1.0,-1.0,1.0439780918828618,0.5213930348258706,0.47761194029850745,0.0009950248756218905,0.0
