cfg,tp_cp,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,trend_enabled,trend_d,trend_p,trend_rr,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00013_US_15_20_tp0.60_sl1.8_high1_t20_d0.35_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.35,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,75,0,75,0.26666666666666666,-0.057478609709633366,0.8146859653185715,-4.310895728222502,0.0,0.0,-0.057478609709633366,0.8146859653185715,-1.0,0.0,1.0379798179502,0.30666666666666664,0.6533333333333333,0.04,0.0
C00040_US_15_20_tp0.60_sl1.8_high1_t30_d0.35_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.35,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,75,0,75,0.26666666666666666,-0.057478609709633366,0.8146859653185715,-4.310895728222502,0.0,0.0,-0.057478609709633366,0.8146859653185715,-1.0,0.0,1.0379798179502,0.30666666666666664,0.6533333333333333,0.04,0.0
C00021_US_15_20_tp0.60_sl1.8_high1_t20_d0.40_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.4,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,46,0,46,0.2391304347826087,-0.05230262638015143,0.8146053562774794,-2.405920813486966,0.0,0.0,-0.05230262638015143,0.8146053562774794,-1.0,0.0,0.8970336893656632,0.2608695652173913,0.6739130434782609,0.06521739130434782,0.0
C00048_US_15_20_tp0.60_sl1.8_high1_t30_d0.40_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.4,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,46,0,46,0.2391304347826087,-0.05230262638015143,0.8146053562774794,-2.405920813486966,0.0,0.0,-0.05230262638015143,0.8146053562774794,-1.0,0.0,0.8970336893656632,0.2608695652173913,0.6739130434782609,0.06521739130434782,0.0
C00010_US_15_20_tp0.60_sl1.8_high1_t20_d0.35_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.35,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,84,0,84,0.25,-0.05649355384120464,0.8044130252767066,-4.74545852266119,0.0,0.0,-0.05649355384120464,0.8044130252767066,-1.0,0.0,0.8742941896370281,0.2976190476190476,0.6547619047619048,0.047619047619047616,0.0
C00037_US_15_20_tp0.60_sl1.8_high1_t30_d0.35_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.35,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,84,0,84,0.25,-0.05649355384120464,0.8044130252767066,-4.74545852266119,0.0,0.0,-0.05649355384120464,0.8044130252767066,-1.0,0.0,0.8742941896370281,0.2976190476190476,0.6547619047619048,0.047619047619047616,0.0
C00023_US_15_20_tp0.60_sl1.8_high1_t20_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,52,0,52,0.25,-0.05866878952924899,0.7987761878997469,-3.0507770555209475,0.0,0.0,-0.05866878952924899,0.7987761878997469,-1.0,0.0,1.0906493414233962,0.2692307692307692,0.6730769230769231,0.057692307692307696,0.0
C00050_US_15_20_tp0.60_sl1.8_high1_t30_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,52,0,52,0.25,-0.05866878952924899,0.7987761878997469,-3.0507770555209475,0.0,0.0,-0.05866878952924899,0.7987761878997469,-1.0,0.0,1.0906493414233962,0.2692307692307692,0.6730769230769231,0.057692307692307696,0.0
C00016_US_15_20_tp0.60_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,69,0,69,0.2608695652173913,-0.06212224702477007,0.7984054279285158,-4.286435044709135,0.0,0.0,-0.06212224702477007,0.7984054279285158,-1.0,0.0,0.9369063814625664,0.30434782608695654,0.6521739130434783,0.043478260869565216,0.0
C00043_US_15_20_tp0.60_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,69,0,69,0.2608695652173913,-0.06212224702477007,0.7984054279285158,-4.286435044709135,0.0,0.0,-0.06212224702477007,0.7984054279285158,-1.0,0.0,0.9369063814625664,0.30434782608695654,0.6521739130434783,0.043478260869565216,0.0
