tf,start_ts,end_ts,overlap_hours,kijun_flat_bars,ssb_flat_bars,kijun,ssb,range_mid,mid_spread,strength
D1,2021-09-07 00:00:00+00:00,2021-09-09 00:00:00+00:00,48.0,14,3,47519.0,41096.12,44307.56,6422.879999999997,12.926201467994366
D1,2022-08-04 00:00:00+00:00,2022-08-07 00:00:00+00:00,72.0,9,5,21800.5,21146.6,21473.55,653.9000000000015,12.809919805490464
D1,2021-01-12 00:00:00+00:00,2021-01-15 00:00:00+00:00,72.0,4,9,32022.755,29153.255,30588.005,2869.5,12.799282851485788
D1,2023-07-06 00:00:00+00:00,2023-07-10 00:00:00+00:00,96.0,5,7,28172.5,28172.5,28172.5,0.0,12.4
D1,2025-06-08 00:00:00+00:00,2025-06-10 00:00:00+00:00,48.0,12,3,106132.3,97929.75,102031.025,8202.550000000003,12.217779655608558
D1,2025-06-05 00:00:00+00:00,2025-06-06 00:00:00+00:00,24.0,12,3,106132.3,97511.7,101822.0,8620.600000000006,12.169673658533936
D1,2023-10-16 00:00:00+00:00,2023-10-20 00:00:00+00:00,96.0,5,7,28342.5,27804.0,28073.25,538.5,12.166620357021154
D1,2025-05-26 00:00:00+00:00,2025-05-28 00:00:00+00:00,48.0,6,7,102643.25,93208.25,97925.75,9435.0,12.039967120199888
D1,2025-04-25 00:00:00+00:00,2025-04-30 00:00:00+00:00,120.0,6,6,85113.3,85113.3,85113.3,0.0,12.0
D1,2022-04-26 00:00:00+00:00,2022-04-27 00:00:00+00:00,24.0,3,8,42559.9,42667.0,42613.45,107.09999999999854,11.969916117652982
D1,2022-06-19 00:00:00+00:00,2022-06-24 00:00:00+00:00,120.0,8,6,25010.35,28832.449999999997,26921.399999999998,3822.0999999999985,11.909217883455039
D1,2024-01-13 00:00:00+00:00,2024-01-17 00:00:00+00:00,96.0,8,5,44680.25,42863.75,43772.0,1816.5,11.905914868881407
D1,2021-04-18 00:00:00+00:00,2021-04-20 00:00:00+00:00,48.0,5,7,57518.055,53994.08,55756.067500000005,3523.9749999999985,11.662866756547958
D1,2022-05-12 00:00:00+00:00,2022-05-16 00:00:00+00:00,96.0,5,7,34798.5,37415.5,36107.0,2617.0,11.56199772750749
D1,2022-01-13 00:00:00+00:00,2022-01-15 00:00:00+00:00,48.0,11,3,45872.0,49529.81,47700.905,3657.8099999999977,11.516861782854185
D1,2019-12-20 00:00:00+00:00,2019-12-24 00:00:00+00:00,96.0,7,6,7138.5,7988.5,7563.5,850.0,11.506840197301955
D1,2026-01-25 00:00:00+00:00,2026-01-28 00:00:00+00:00,72.0,4,7,91976.9,91170.35,91573.625,806.5499999999884,11.498723075594954
D1,2022-08-15 00:00:00+00:00,2022-08-20 00:00:00+00:00,120.0,6,6,22944.8,21881.5,22413.15,1063.2999999999993,11.456493635110931
D1,2025-01-13 00:00:00+00:00,2025-01-16 00:00:00+00:00,72.0,4,7,95835.55,98637.9,97236.725,2802.3499999999913,11.275054372503947
D1,2022-05-17 00:00:00+00:00,2022-05-18 00:00:00+00:00,24.0,5,7,33715.5,37415.5,35565.5,3700.0,11.23154423094065
