tf,start_ts,end_ts,overlap_hours,kijun_flat_bars,ssb_flat_bars,kijun,ssb,range_mid,mid_spread,strength,range_low,range_high,range_mid_box,range_width,buffer_abs,status,breakout_side,breakout_ts,bars_to_break
M30,2023-10-05 17:00:00,2023-10-06 02:30:00,9.5,20,39,27721.75,27721.75,27721.75,0.0,62.8,27333.5,27582.8,27458.15,249.29999999999927,24.92999999999993,BREAKOUT_UP,UP,2023-10-06 07:30:00,10.0
M30,2023-06-13 19:00:00,2023-06-14 01:00:00,6.0,20,39,26069.25,26069.25,26069.25,0.0,62.8,25790.6,26021.5,25906.05,230.90000000000146,23.090000000000146,ACTIVE,NONE,,
M30,2024-01-03 16:30:00,2024-01-03 22:00:00,5.5,21,38,42957.65,42957.65,42957.65,0.0,62.400000000000006,41920.0,43449.7,42684.85,1529.699999999997,152.96999999999971,ACTIVE,NONE,,
M30,2023-06-18 23:00:00,2023-06-19 08:30:00,9.5,20,38,26470.15,26470.15,26470.15,0.0,61.6,26230.9,26468.5,26349.7,237.59999999999854,23.759999999999856,BREAKOUT_UP,UP,2023-06-19 12:00:00,7.0
M30,2021-06-07 01:30:00,2021-06-07 11:00:00,9.5,20,38,36010.93,36010.93,36010.93,0.0,61.6,35846.0,36820.0,36333.0,974.0,97.4,BREAKOUT_DOWN,DOWN,2021-06-07 17:30:00,13.0
M30,2021-12-08 19:00:00,2021-12-09 00:30:00,5.5,20,38,49871.965,49871.965,49871.965,0.0,61.6,50066.0,50847.53,50456.765,781.5299999999988,78.15299999999989,BREAKOUT_DOWN,DOWN,2021-12-09 02:00:00,3.0
M30,2020-10-14 15:30:00,2020-10-15 02:00:00,10.5,22,36,11415.25,11415.25,11415.25,0.0,60.8,11280.5,11433.18,11356.84,152.6800000000003,15.268000000000029,BREAKOUT_UP,UP,2020-10-15 17:30:00,31.0
M30,2020-03-10 20:30:00,2020-03-11 01:30:00,5.0,20,37,7944.655000000001,7944.655000000001,7944.655000000001,0.0,60.4,7870.0,8041.41,7955.705,171.40999999999985,17.140999999999988,BREAKOUT_DOWN,DOWN,2020-03-11 08:00:00,13.0
M30,2026-01-24 11:00:00,2026-01-24 13:00:00,2.0,5,47,89638.7,89862.5,89750.6,223.8000000000029,60.24976259913931,89444.5,89641.3,89542.9,196.8000000000029,19.68000000000029,BREAKOUT_DOWN,DOWN,2026-01-24 14:30:00,3.0
M30,2023-06-01 06:30:00,2023-06-01 12:30:00,6.0,20,36,26973.95,26973.95,26973.95,0.0,59.2,26753.1,26960.0,26856.55,206.90000000000146,20.690000000000147,BREAKOUT_UP,UP,2023-06-01 16:30:00,8.0
M30,2023-11-17 23:00:00,2023-11-18 03:00:00,4.0,21,35,36444.4,36444.4,36444.4,0.0,58.8,36366.2,36762.6,36564.399999999994,396.40000000000146,39.64000000000015,ACTIVE,NONE,,
M30,2023-04-12 21:00:00,2023-04-13 01:00:00,4.0,21,35,30050.0,30050.0,30050.0,0.0,58.8,29772.0,30027.4,29899.7,255.40000000000146,25.54000000000015,BREAKOUT_UP,UP,2023-04-13 02:30:00,3.0
M30,2026-01-22 08:30:00,2026-01-22 10:30:00,2.0,5,45,89833.45,88902.5,89367.975,930.9499999999972,57.402040500482144,89748.0,90085.2,89916.6,337.1999999999971,33.71999999999971,BREAKOUT_DOWN,DOWN,2026-01-22 13:30:00,6.0
M30,2026-01-01 09:30:00,2026-01-01 14:30:00,5.0,11,39,87786.7,88191.0,87988.85,404.3000000000029,55.345692058717205,87753.0,88000.0,87876.5,247.0,24.700000000000003,BREAKOUT_UP,UP,2026-01-01 17:00:00,5.0
M30,2026-01-06 22:30:00,2026-01-07 02:30:00,4.0,18,33,92812.2,92812.2,92812.2,0.0,54.0,92202.9,93743.4,92973.15,1540.5,154.05,BREAKOUT_DOWN,DOWN,2026-01-07 09:00:00,13.0
M30,2026-01-09 21:30:00,2026-01-10 03:30:00,6.0,13,36,90899.5,90815.9,90857.7,83.60000000000582,53.550726897460216,90320.3,90748.6,90534.45000000001,428.3000000000029,42.8300000000003,ACTIVE,NONE,,
M30,2026-01-09 16:30:00,2026-01-09 21:00:00,4.5,12,36,90815.9,90815.9,90815.9,0.0,52.8,90082.6,91645.7,90864.15,1563.0999999999913,156.30999999999915,ACTIVE,NONE,,
M30,2026-01-12 16:30:00,2026-01-13 02:30:00,10.0,21,30,91182.5,91277.0,91229.75,94.5,52.7453639093669,90870.0,92299.0,91584.5,1429.0,142.9,BREAKOUT_UP,UP,2026-01-13 15:30:00,26.0
M30,2026-01-27 21:00:00,2026-01-28 06:00:00,9.0,19,25,88382.2,88382.2,88382.2,0.0,45.2,88786.0,89499.0,89142.5,713.0,71.3,BREAKOUT_UP,UP,2026-01-28 11:30:00,11.0
M30,2026-01-03 07:30:00,2026-01-03 16:00:00,8.5,19,24,89858.6,89673.15,89765.875,185.45000000001164,43.90928649466808,89261.2,90200.0,89730.6,938.8000000000029,93.8800000000003,BREAKOUT_UP,UP,2026-01-03 20:30:00,9.0
M30,2026-01-07 10:00:00,2026-01-07 12:00:00,2.0,5,33,92646.65,92812.2,92729.425,165.5500000000029,43.52229956464276,91549.9,92219.8,91884.85,669.9000000000087,66.99000000000088,BREAKOUT_DOWN,DOWN,2026-01-07 15:00:00,6.0
M30,2026-01-18 01:00:00,2026-01-18 03:30:00,2.5,6,32,95220.7,95220.7,95220.7,0.0,43.2,94819.5,95175.0,94997.25,355.5,35.550000000000004,BREAKOUT_UP,UP,2026-01-18 17:00:00,27.0
M30,2026-01-27 11:00:00,2026-01-27 14:00:00,3.0,7,31,88345.20000000001,87971.65,88158.425,373.55000000001746,42.61941055759796,87707.1,88418.8,88062.95000000001,711.6999999999971,71.16999999999972,BREAKOUT_UP,UP,2026-01-27 20:00:00,12.0
M30,2026-01-31 04:30:00,2026-01-31 06:30:00,2.0,23,19,83215.5,83215.5,83215.5,0.0,41.2,83600.0,84107.0,83853.5,507.0,50.7,BREAKOUT_DOWN,DOWN,2026-01-31 07:30:00,2.0
M30,2026-01-12 03:00:00,2026-01-12 11:30:00,8.5,18,22,91331.65,91331.65,91331.65,0.0,40.8,90319.4,92488.0,91403.7,2168.600000000006,216.86000000000058,ACTIVE,NONE,,
M30,2026-01-05 02:00:00,2026-01-05 07:30:00,5.5,13,25,92086.3,92086.3,92086.3,0.0,40.4,92102.0,93167.9,92634.95,1065.8999999999942,106.58999999999942,BREAKOUT_UP,UP,2026-01-05 14:30:00,14.0
M30,2026-02-03 00:00:00,2026-02-03 03:30:00,3.5,8,28,78413.3,76933.0,77673.15,1480.300000000003,39.251934059728285,77566.5,79163.0,78364.75,1596.5,159.65,BREAKOUT_DOWN,DOWN,2026-02-03 16:00:00,25.0
M30,2026-02-09 20:00:00,2026-02-10 00:30:00,4.5,14,22,69678.35,70285.85,69982.1,607.5,37.27641125604905,69705.8,71085.0,70395.4,1379.199999999997,137.9199999999997,BREAKOUT_DOWN,DOWN,2026-02-10 03:00:00,5.0
M30,2026-01-26 17:30:00,2026-01-27 00:30:00,7.0,19,18,87897.05,87427.9,87662.475,469.15000000000873,36.604103010695646,86960.0,88637.4,87798.7,1677.3999999999942,167.73999999999944,ACTIVE,NONE,,
M30,2026-01-29 02:30:00,2026-01-29 06:00:00,3.5,8,24,89121.4,89121.4,89121.4,0.0,35.199999999999996,87650.1,88573.6,88111.85,923.5,92.35000000000001,BREAKOUT_DOWN,DOWN,2026-01-29 14:30:00,17.0
M30,2026-01-23 10:00:00,2026-01-23 14:00:00,4.0,9,23,89436.65,89387.55,89412.1,49.09999999999127,34.78090032326863,88823.3,89689.8,89256.55,866.5,86.65,BREAKOUT_UP,UP,2026-01-23 16:30:00,5.0
M30,2026-01-30 19:30:00,2026-01-31 01:00:00,5.5,23,12,83215.5,82849.95,83032.725,365.5500000000029,32.65623155874626,83501.0,84599.0,84050.0,1098.0,109.80000000000001,BREAKOUT_DOWN,DOWN,2026-01-31 08:00:00,14.0
M30,2026-01-16 03:00:00,2026-01-16 06:00:00,3.0,7,21,96063.8,96117.5,96090.65,53.69999999999709,30.782797117043284,95111.1,95790.0,95450.55,678.8999999999942,67.88999999999942,BREAKOUT_DOWN,DOWN,2026-01-16 15:00:00,18.0
M30,2026-02-09 14:00:00,2026-02-09 16:00:00,2.0,5,22,69853.29999999999,70285.85,70069.575,432.55000000001746,30.213487607643025,68271.7,69843.7,69057.7,1572.0,157.20000000000002,BREAKOUT_UP,UP,2026-02-09 16:30:00,1.0
M30,2026-01-15 03:30:00,2026-01-15 08:00:00,4.5,11,17,96832.6,96172.75,96502.675,659.8500000000058,29.001697002007717,95733.1,96744.2,96238.65,1011.0999999999913,101.10999999999913,BREAKOUT_UP,UP,2026-01-15 12:30:00,9.0
M30,2026-01-08 18:00:00,2026-01-08 21:30:00,3.5,8,18,90333.55,90454.0,90393.775,120.44999999999708,27.96273955834014,90519.9,91425.1,90972.5,905.2000000000116,90.52000000000118,BREAKOUT_DOWN,DOWN,2026-01-09 08:30:00,22.0
M30,2026-01-02 23:30:00,2026-01-03 03:00:00,3.5,21,9,89673.15,89634.75,89653.95,38.39999999999418,27.588183607632093,89850.0,90365.9,90107.95,515.8999999999942,51.58999999999942,BREAKOUT_DOWN,DOWN,2026-01-03 07:00:00,8.0
M30,2026-02-02 07:30:00,2026-02-02 11:30:00,4.0,9,17,76333.0,76874.5,76603.75,541.5,27.406269342571317,76380.0,77937.7,77158.85,1557.699999999997,155.76999999999973,BREAKOUT_UP,UP,2026-02-02 15:00:00,7.0
M30,2026-01-08 22:00:00,2026-01-09 00:30:00,2.5,6,18,90345.95,90454.0,90399.975,108.05000000000292,26.368483236707466,90975.0,91449.9,91212.45,474.8999999999942,47.48999999999942,BREAKOUT_DOWN,DOWN,2026-01-09 07:30:00,14.0
M30,2026-01-10 11:00:00,2026-01-10 16:30:00,5.5,13,13,90575.8,90899.5,90737.65,323.6999999999971,25.907576595339297,90494.0,90795.3,90644.65,301.3000000000029,30.130000000000294,BREAKOUT_DOWN,DOWN,2026-01-10 22:00:00,11.0
M30,2026-02-06 06:30:00,2026-02-06 10:30:00,4.0,13,13,63291.5,65872.2,64581.85,2580.699999999997,25.000958123239812,64438.9,66198.7,65318.8,1759.7999999999956,175.97999999999956,BREAKOUT_UP,UP,2026-02-06 12:30:00,4.0
M30,2026-02-07 20:30:00,2026-02-07 23:00:00,2.5,6,17,68775.1,69482.2,69128.65,707.0999999999913,24.944845297716427,68734.6,69688.2,69211.4,953.5999999999913,95.35999999999913,BREAKOUT_UP,UP,2026-02-08 08:00:00,18.0
M30,2026-02-03 23:00:00,2026-02-04 02:00:00,3.0,7,16,75657.5,76026.1,75841.8,368.6000000000058,24.68005206638464,75393.4,76786.1,76089.75,1392.7000000000116,139.27000000000118,BREAKOUT_DOWN,DOWN,2026-02-04 14:30:00,25.0
M30,2026-01-26 08:00:00,2026-01-26 11:30:00,3.5,8,15,87194.6,87484.4,87339.5,289.79999999998836,24.31930644202339,87556.9,88367.5,87962.2,810.6000000000058,81.06000000000058,BREAKOUT_UP,UP,2026-01-27 01:30:00,28.0
M30,2026-01-06 18:00:00,2026-01-06 21:30:00,3.5,18,8,92812.2,92984.65,92898.425,172.4499999999971,23.95553066413097,91209.0,93825.0,92517.0,2616.0,261.6,ACTIVE,NONE,,
M30,2026-01-30 06:30:00,2026-01-30 10:00:00,3.5,12,12,82849.95,84730.6,83790.275,1880.6500000000087,23.4731514805052,82021.1,83074.4,82547.75,1053.2999999999884,105.32999999999885,BREAKOUT_UP,UP,2026-01-30 18:30:00,17.0
