tf,line,start_ts,end_ts,length_bars,value,duration_days
D1,ssb,2019-11-25,2019-12-16,22,8459.335,21.0
D1,ssb,2020-09-16,2020-10-07,22,11154.0,21.0
D1,ssb,2021-06-09,2021-06-30,22,44171.0,21.0
D1,ssb,2022-10-13,2022-11-03,22,20383.9,21.0
D1,ssb,2022-07-01,2022-07-21,21,25010.35,20.0
D1,ssb,2022-03-28,2022-04-16,20,41251.85,19.0
D1,ssb,2024-01-23,2024-02-11,20,43786.25,19.0
D1,ssb,2021-10-20,2021-11-07,19,53326.79,18.0
D1,ssb,2022-02-26,2022-03-16,19,39350.665,18.0
D1,ssb,2021-07-26,2021-08-12,18,38474.305,17.0
D1,ssb,2021-04-26,2021-05-12,17,55958.270000000004,16.0
D1,ssb,2021-05-19,2021-06-04,17,46837.055,16.0
D1,ssb,2023-04-14,2023-04-30,17,25290.3,16.0
D1,ssb,2023-08-17,2023-09-02,17,28215.5,16.0
D1,ssb,2024-09-27,2024-10-13,17,59480.4,16.0
D1,ssb,2025-12-01,2025-12-17,17,98490.1,16.0
D1,ssb,2021-02-25,2021-03-12,16,43676.07,15.0
D1,ssb,2023-09-13,2023-09-28,16,27415.5,15.0
D1,ssb,2020-08-02,2020-08-16,15,10485.325,14.0
D1,ssb,2022-09-21,2022-10-05,15,21642.15,14.0
D1,ssb,2024-06-07,2024-06-21,15,64340.85,14.0
D1,ssb,2021-07-12,2021-07-25,14,35096.505,13.0
D1,ssb,2020-07-03,2020-07-15,13,9560.314999999999,12.0
D1,ssb,2023-06-23,2023-07-05,13,28138.5,12.0
D1,ssb,2020-10-09,2020-10-20,12,10934.825,11.0
D1,ssb,2021-01-20,2021-01-31,12,29840.255,11.0
D1,ssb,2021-04-01,2021-04-12,12,52476.025,11.0
D1,ssb,2022-09-07,2022-09-18,12,21850.0,11.0
D1,ssb,2022-11-09,2022-11-20,12,18468.15,11.0
D1,ssb,2022-12-31,2023-01-11,12,16921.6,11.0
D1,ssb,2020-02-13,2020-02-23,11,8701.72,10.0
D1,ssb,2020-06-20,2020-06-30,11,9218.625,10.0
D1,ssb,2020-08-26,2020-09-05,11,10771.720000000001,10.0
D1,ssb,2021-08-23,2021-09-02,11,39921.12,10.0
D1,ssb,2022-06-01,2022-06-11,11,34798.5,10.0
D1,ssb,2023-03-30,2023-04-09,11,24353.199999999997,10.0
D1,ssb,2020-04-18,2020-04-27,10,6412.905,9.0
D1,ssb,2021-09-26,2021-10-05,10,46226.79,9.0
D1,ssb,2022-03-17,2022-03-26,10,40075.6,9.0
D1,ssb,2022-08-24,2022-09-02,10,22050.5,9.0
D1,ssb,2023-10-23,2023-11-01,10,30434.95,9.0
D1,ssb,2023-11-19,2023-11-28,10,32512.45,9.0
D1,ssb,2024-06-24,2024-07-03,10,65181.0,9.0
D1,ssb,2025-02-28,2025-03-09,10,94100.1,9.0
D1,ssb,2025-06-29,2025-07-08,10,105037.45,9.0
D1,ssb,2020-01-19,2020-01-27,9,7816.15,8.0
D1,ssb,2020-05-23,2020-05-31,9,8272.665,8.0
D1,ssb,2021-01-08,2021-01-16,9,29153.255,8.0
D1,ssb,2021-09-17,2021-09-25,9,45120.5,8.0
D1,ssb,2024-04-06,2024-04-14,9,62197.049999999996,8.0
D1,ssb,2024-11-22,2024-11-30,9,79280.0,8.0
D1,ssb,2024-12-17,2024-12-25,9,87588.4,8.0
D1,ssb,2025-11-04,2025-11-12,9,112548.65,8.0
D1,ssb,2020-08-18,2020-08-25,8,10699.71,7.0
D1,ssb,2022-04-20,2022-04-27,8,42667.0,7.0
D1,ssb,2023-03-22,2023-03-29,8,24201.3,7.0
D1,ssb,2023-10-08,2023-10-15,8,26750.5,7.0
